neighbourhood.group,id,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
Manhattan,1102407,450,90,110,122,1.18,4,2,425
Brooklyn,1102959,1153,231,57,33,0.58,4,1,421
Brooklyn,1103512,327,65,142,52,0.5,4,1,83
Manhattan,1115662,749,150,1,104,1,1,5,15
Bronx,1116214,538,108,1,138,1.45,1,3,138
Manhattan,1116767,252,50,5,204,1.92,1,1,327
Brooklyn,1120081,444,89,3,37,0.35,1,1,341
Manhattan,1120633,1089,218,1,204,2.04,5,1,353
Brooklyn,1121185,518,104,2,69,0.65,2,1,213
Manhattan,1123394,396,79,3,205,1.96,4,1,19
Manhattan,1123947,813,163,3,94,0.96,5,1,395
Manhattan,1124499,111,22,3,7,0.07,3,1,410
Manhattan,1125051,908,182,2,108,1.09,2,1,78
Manhattan,1125604,823,165,3,222,2.1,5,2,188
Manhattan,1126156,186,37,1,458,4.58,4,2,338
Brooklyn,1126708,84,17,2,21,0.26,1,1,66
Manhattan,1127260,241,48,7,17,0.3,4,1,322
Manhattan,1127813,54,11,3,41,0.39,3,1,322
Queens,1128365,656,131,14,1,0.01,5,5,80
Brooklyn,1128917,509,102,2,69,0.67,5,1,146
Manhattan,1129470,1198,240,4,18,0.18,5,2,382
Manhattan,1130022,588,118,30,82,0.78,1,1,329
Manhattan,1130574,228,46,4,94,0.99,1,1,9
Manhattan,1131127,874,175,5,10,0.1,4,1,256
Manhattan,1131679,1052,210,28,183,1.83,2,2,-6
Manhattan,1132231,1127,225,1,189,1.82,3,5,83
Manhattan,1135545,595,119,2,35,0.34,1,1,0
Manhattan,1136097,1076,215,14,10,2.21,3,2,319
Manhattan,1136650,956,191,4,171,1.8,5,2,50
Manhattan,1137202,81,16,200,92,0.9,1,1,118
Brooklyn,1142173,842,168,3,124,1.22,4,3,230
Brooklyn,1142725,1164,233,2,181,1.77,1,2,145
Manhattan,1153219,1127,225,2,210,2.1,2,1,267
Brooklyn,1153771,368,74,5,64,0.67,5,1,300
Manhattan,1154875,850,170,7,5,0.15,4,1,33
Brooklyn,1155428,1003,201,10,49,0.48,1,1,407
Manhattan,1163160,968,194,3,93,0.93,5,1,416
Manhattan,1163712,643,129,1,104,1.05,2,2,206
Manhattan,1164265,960,192,30,64,0.68,1,1,52
Brooklyn,1164817,961,192,3,127,1.25,1,2,295
Manhattan,1165369,544,109,11,30,0.32,4,1,76
Brooklyn,1165921,523,105,2,106,1.34,5,3,16
Brooklyn,1166474,614,123,452,6,0.1,4,1,351
Manhattan,1167026,178,36,2,191,1.88,2,1,397
Manhattan,1167578,61,12,30,48,0.55,3,1,276
Brooklyn,1168131,901,180,5,47,0.49,3,1,68
Manhattan,1168683,1189,238,2,120,1.27,4,1,398
Manhattan,1169235,783,157,3,52,0.63,4,1,135
Manhattan,1169788,69,14,2,48,0.48,4,4,86
Manhattan,1170340,1018,204,3,32,0.43,1,2,412
Manhattan,1170892,651,130,25,43,0.42,5,1,87
Manhattan,1171444,935,187,30,39,0.44,2,1,-9
Brooklyn,1171997,784,157,1,50,0.5,4,1,47
Bronx,1172549,55,11,30,4,0.35,5,2,315
Manhattan,1173101,989,198,13,38,0.39,3,1,105
Brooklyn,1173654,1029,206,3,29,0.36,1,1,87
Brooklyn,1174206,291,58,4,59,0.6,3,1,52
Brooklyn,1174758,787,157,1,68,0.67,3,2,189
Manhattan,1175311,269,54,14,26,0.27,5,3,132
Manhattan,1175863,725,145,14,31,0.31,5,1,81
Queens,1176415,612,122,2,198,2.01,1,1,42
Brooklyn,1176967,920,184,2,1,0.01,3,1,73
Brooklyn,1177520,1080,216,2,220,2.17,3,2,361
Manhattan,1178072,824,165,3,286,2.81,1,1,177
Brooklyn,1178624,1038,208,2,398,3.97,5,3,245
Brooklyn,1179177,1074,215,3,36,0.36,1,28,272
Manhattan,1179729,72,14,3,36,0.36,1,1,386
Brooklyn,1180281,162,32,4,6,0.1,5,1,247
Brooklyn,1180834,701,140,6,14,0.3,4,1,394
Brooklyn,1181386,566,113,14,76,0.76,5,6,179
Manhattan,1200164,50,10,2,136,1.37,4,1,312
Queens,1200716,671,134,1,43,0.45,5,1,150
Brooklyn,1201269,575,115,7,98,0.99,3,1,141
Brooklyn,1201821,99,20,3,31,0.31,2,1,419
Manhattan,1202373,52,10,21,45,0.46,5,1,256
Brooklyn,1202926,964,193,3,124,1.76,5,1,380
Brooklyn,1203478,68,14,3,9,0.09,4,28,270
Manhattan,1204030,549,110,5,166,1.68,5,2,45
Queens,1204582,438,88,27,13,0.13,3,1,336
Brooklyn,1205135,490,98,30,15,0.16,5,5,176
Manhattan,1205687,1137,227,3,380,3.83,4,2,379
Brooklyn,1206239,1170,234,2,86,0.87,2,1,35
Brooklyn,1206792,753,151,3,248,2.53,2,3,210
Manhattan,1207344,369,74,5,49,0.56,2,1,203
Manhattan,1207896,508,102,18,54,0.57,4,1,264
Brooklyn,1208449,443,89,7,3,0.03,4,1,402
Manhattan,1209001,947,189,1,1,0.02,1,1,53
Manhattan,1209553,857,171,2,56,0.57,3,1,252
Brooklyn,1210105,861,172,2,163,1.66,3,2,398
Brooklyn,1210658,536,107,2,247,2.51,1,2,82
Manhattan,1211210,690,138,10,116,1.17,5,1,5
Brooklyn,1211762,971,194,14,27,0.28,2,2,362
Manhattan,1212315,696,139,1,52,0.6,5,3,338
Manhattan,1212867,1188,238,6,39,0.4,4,1,238
Manhattan,1213419,1083,217,14,35,0.35,5,1,61
Brooklyn,1215628,1042,208,30,95,0.96,5,1,238
Brooklyn,1216181,52,10,4,70,0.75,2,1,406
Manhattan,1216733,409,82,2,35,0.36,3,1,11
Brooklyn,1217838,788,158,4,50,0.51,3,1,235
Brooklyn,1218390,586,117,2,29,0.31,1,1,318
Brooklyn,1218942,608,122,2,23,0.23,2,2,280
Manhattan,1219495,964,193,2,142,1.44,2,2,140
Manhattan,1220047,154,31,2,70,0.73,4,1,256
Brooklyn,1220599,132,26,2,38,0.54,3,2,107
Brooklyn,1221151,779,156,-1,82,0.94,2,2,131
Manhattan,1221704,619,124,2,403,4.1,1,3,35
Manhattan,1222256,1155,231,1,3,0.03,2,1,117
Brooklyn,1232750,1162,232,1,35,0.41,5,1,416
Manhattan,1233302,438,88,3,18,0.21,5,1,377
Manhattan,1233854,874,175,-10,68,0.69,5,1,13
Manhattan,1234407,589,118,4,22,0.23,5,1,84
Manhattan,1234959,725,145,8,17,0.17,3,1,291
Bronx,1241034,811,162,1,197,2.49,5,1,132
Manhattan,1241587,935,187,4,19,0.2,5,1,327
Queens,1242139,465,93,1,414,4.34,5,1,325
Brooklyn,1242691,256,51,2,8,0.09,3,4,331
Manhattan,1243796,1196,239,7,25,0.3,5,1,283
Manhattan,1244348,448,90,3,119,1.22,1,5,114
Manhattan,1244900,920,184,-12,203,2.14,5,3,77
Queens,1245453,805,161,40,53,0.55,1,3,376
Brooklyn,1246005,859,172,2,104,1.09,2,1,211
Manhattan,1246557,691,138,3,175,1.8,3,1,256
Manhattan,1247110,693,139,3,38,0.42,4,3,145
Brooklyn,1247662,747,149,45,39,0.5,5,1,112
Brooklyn,1248214,906,181,31,88,0.91,3,1,296
Brooklyn,1248766,999,200,1,27,0.28,1,4,181
Brooklyn,1249319,252,50,5,117,1.28,5,1,47
Brooklyn,1249871,718,144,3,43,0.44,2,2,130
Brooklyn,1250423,120,24,5,4,0.05,3,1,106
Brooklyn,1250976,1161,232,2,385,4,5,1,97
Brooklyn,1251528,407,81,1,64,0.68,1,3,368
Brooklyn,1252080,857,171,1,39,0.41,5,3,193
Manhattan,1252633,839,168,2,37,1.79,2,1,362
Manhattan,1253185,1126,225,3,10,0.12,5,1,100
Manhattan,1253737,166,33,2,103,1.08,2,1,248
Queens,1254289,330,66,40,41,0.43,2,3,400
Brooklyn,1254842,225,45,6,3,0.03,5,1,231
Manhattan,1255394,839,168,3,227,2.33,3,1,399
Manhattan,1259260,817,163,2,54,0.56,1,1,70
Brooklyn,1259812,52,10,7,7,0.07,5,1,315
Manhattan,1260365,1198,240,5,57,0.59,5,2,84
Queens,1260917,613,123,44,31,0.32,5,3,75
Manhattan,1262574,409,82,398,34,0.35,1,1,182
Manhattan,1265335,410,82,-2,129,1.33,2,1,381
Manhattan,1265888,229,46,3,147,1.6,5,1,253
Brooklyn,1266440,1060,212,28,101,1.06,4,1,53
Manhattan,1266992,1046,209,2,11,0.12,4,2,191
Manhattan,1267545,114,23,65,11,0.12,4,1,414
Manhattan,1271963,424,85,2,17,0.18,3,2,-9
Manhattan,1272515,435,87,3,3,0.04,4,2,9
Manhattan,1273068,945,189,5,43,0.47,3,2,147
Manhattan,1273620,67,13,3,168,4.6,5,1,345
Brooklyn,1274172,590,118,3,241,2.49,4,1,186
Manhattan,1274725,365,73,2,105,1.13,3,1,248
Brooklyn,1275277,314,63,2,11,0.46,2,1,187
Manhattan,1275829,1139,228,30,30,0.33,4,11,400
Brooklyn,1276381,638,128,3,31,0.32,1,1,70
Manhattan,1276934,1051,210,4,49,0.51,1,2,268
Brooklyn,1277486,164,33,4,23,0.24,3,1,209
Brooklyn,1278038,586,117,2,20,0.21,5,2,247
Brooklyn,1284114,1057,211,2,227,2.4,5,1,19
Brooklyn,1284666,546,109,4,80,1.55,3,1,88
Manhattan,1285218,88,18,30,5,0.07,5,1,62
Brooklyn,1285771,833,167,2,187,1.97,3,2,420
Manhattan,1289084,440,88,4,1,0.02,3,1,398
Brooklyn,1289637,1181,236,3,177,1.86,2,1,145
Brooklyn,1290189,923,185,4,90,0.94,3,1,45
Manhattan,1290741,858,172,7,39,0.41,2,1,369
Brooklyn,1291294,413,83,-3,42,0.44,5,1,292
Brooklyn,1291846,972,194,3,33,0.35,1,1,214
Brooklyn,1292398,346,69,3,179,2.02,5,1,114
Manhattan,1292950,152,30,3,81,0.85,4,2,171
Manhattan,1293503,619,124,28,43,0.45,5,2,-4
Brooklyn,1294055,557,111,30,52,0.54,4,1,228
Queens,1294607,177,35,2,160,1.68,2,1,301
Manhattan,1295160,836,167,6,23,0.27,1,2,129
Manhattan,1295712,181,36,6,35,0.37,4,1,210
Manhattan,1296264,913,183,1,225,2.35,5,1,146
Brooklyn,1296817,556,111,1,401,6.62,4,2,313
Brooklyn,1297369,67,13,1,72,0.84,2,2,292
Brooklyn,1297921,253,51,1,46,0.97,5,1,30
Brooklyn,1301235,710,142,3,207,2.18,4,1,97
Manhattan,1301787,783,157,3,50,0.65,3,2,95
Brooklyn,1302340,760,152,2,273,2.85,3,1,373
Manhattan,1303444,749,150,30,25,0.26,4,1,67
Brooklyn,1303996,565,113,4,105,1.62,1,1,43
Brooklyn,1304549,567,113,4,72,0.76,5,3,402
Brooklyn,1307863,644,129,3,123,1.29,2,1,236
Brooklyn,1308415,500,100,2,55,0.59,1,1,85
Brooklyn,1308967,1114,223,4,87,0.99,4,1,75
Bronx,1309519,581,116,3,258,2.7,1,2,130
Brooklyn,1310072,353,71,2,4,0.18,4,1,240
Brooklyn,1310624,680,136,14,31,0.33,4,1,425
Brooklyn,1311176,441,88,4,128,1.34,2,2,-8
Brooklyn,1311729,357,71,3,14,0.15,5,1,138
Brooklyn,1312281,128,26,3,30,0.32,1,3,397
Queens,1312833,924,185,28,258,2.9,2,1,251
Brooklyn,1313386,186,37,3,228,2.39,4,3,324
Manhattan,1314490,80,16,90,9,0.2,3,1,93
Manhattan,1315042,709,142,2,179,1.88,2,1,66
Brooklyn,1315595,473,95,7,9,0.1,2,1,264
Brooklyn,1316147,466,93,1,1,0.37,1,1,375
Manhattan,1316699,228,46,30,25,0.49,1,1,103
Staten Island,1317252,629,126,2,2,0.05,1,1,91
Brooklyn,1317804,520,104,3,152,1.6,1,3,380
Queens,1318356,476,95,30,24,0.25,3,8,259
Manhattan,1318909,892,178,2,45,0.47,4,3,4
Brooklyn,1319461,523,105,30,7,0.08,4,1,267
Manhattan,1320013,145,29,7,19,0.35,5,1,231
Brooklyn,1320565,464,93,1,24,0.26,2,1,384
Brooklyn,1329402,396,79,4,18,0.21,4,1,325
Manhattan,1335478,119,24,30,59,0.64,3,1,211
Brooklyn,1336030,244,49,7,63,1.87,1,1,162
Manhattan,1336582,697,139,2,52,0.55,1,1,122
Manhattan,1337134,196,39,1,278,2.95,2,3,341
Brooklyn,1337687,510,102,5,1,0.01,1,1,411
Brooklyn,1338239,1159,232,2,35,0.4,4,1,7
Bronx,1338791,361,72,5,235,2.49,2,2,29
Manhattan,1339344,1090,218,28,115,1.21,5,2,265
Manhattan,1339896,486,97,1,109,1.15,2,1,116
Manhattan,1340448,588,118,5,1,0.01,4,1,392
Brooklyn,1341001,779,156,3,305,3.24,3,1,175
Manhattan,1341553,1114,223,1,102,1.52,4,1,267
Manhattan,1342105,676,135,30,83,0.88,3,1,303
Queens,1342657,674,135,1,19,0.25,1,1,420
Manhattan,1343210,578,116,2,61,0.65,3,1,233
Manhattan,1343762,1025,205,5,89,0.94,1,1,336
Queens,1344314,1112,222,30,65,0.74,1,3,-6
Brooklyn,1344867,1067,213,1,40,0.44,3,1,69
Manhattan,1345419,488,98,30,80,0.86,5,2,16
Manhattan,1345971,417,83,30,136,1.45,4,1,272
Manhattan,1346524,613,123,3,100,1.06,5,1,119
Brooklyn,1347076,1105,221,2,125,1.36,4,3,419
Brooklyn,1347628,968,194,5,40,0.5,2,1,367
Manhattan,1348733,1038,208,30,139,1.59,5,4,180
Manhattan,1349837,188,38,7,2,0.03,2,1,239
Queens,1350390,134,27,28,49,0.53,5,1,87
Manhattan,1350942,1148,230,5,8,0.11,3,1,42
Brooklyn,1352047,631,126,5,124,1.32,1,1,149
Brooklyn,1352599,810,162,21,5,0.12,2,1,39
Brooklyn,1353151,57,11,1,147,1.57,5,1,387
Brooklyn,1353703,59,12,1,43,0.46,5,11,338
Brooklyn,1354256,461,92,6,8,0.33,3,1,321
Manhattan,1354808,1019,204,2,37,0.39,1,1,302
Brooklyn,1355360,1038,208,1,120,1.28,3,11,3
Brooklyn,1355913,1156,231,1,24,0.29,5,1,187
Brooklyn,1356465,938,188,3,5,0.05,2,1,408
Brooklyn,1357017,256,51,30,242,2.59,5,1,183
Manhattan,1357570,683,137,4,229,2.45,3,1,87
Bronx,1358122,640,128,2,108,1.36,1,2,8
Brooklyn,1358674,463,93,2,181,1.92,5,1,1
Manhattan,1359226,429,86,5,34,0.39,1,1,297
Brooklyn,1359779,1154,231,3,5,0.05,1,1,32
Manhattan,1360331,629,126,1,5,0.06,4,1,211
Manhattan,1365854,538,108,1,49,0.58,2,1,88
Manhattan,1366406,1029,206,1,11,0.12,1,2,67
Manhattan,1367511,262,52,3,107,1.15,2,1,350
Brooklyn,1368063,58,12,2,241,2.6,4,1,109
Manhattan,1368616,53,11,1,176,1.89,3,1,364
Manhattan,1369168,792,158,4,151,1.63,4,2,193
Manhattan,1369720,383,77,3,49,0.53,2,2,402
Brooklyn,1370272,1145,229,120,13,0.14,3,1,248
Brooklyn,1370825,1113,223,3,33,0.47,3,28,233
Brooklyn,1371377,104,21,3,24,0.32,4,28,419
Brooklyn,1371929,685,137,3,59,0.66,2,28,109
Brooklyn,1372482,637,127,1,2,0.04,1,1,189
Manhattan,1373034,678,136,2,16,0.23,2,1,250
Manhattan,1373586,878,176,2,72,0.77,3,1,203
Brooklyn,1377452,528,106,3,3,0.03,2,28,216
Brooklyn,1378005,847,169,3,6,0.1,4,28,372
Brooklyn,1378557,232,46,3,4,0.05,2,28,-2
Brooklyn,1386289,758,152,3,233,2.5,5,1,318
Brooklyn,1386841,963,193,3,135,1.45,5,1,162
Queens,1387394,738,148,4,20,0.23,3,1,140
Manhattan,1387946,328,66,4,46,0.5,4,1,418
Manhattan,1388498,177,35,365,10,0.12,1,1,230
Manhattan,1389051,1137,227,1,143,2.83,1,1,365
Staten Island,1389603,459,92,2,21,0.26,5,4,388
Staten Island,1390708,845,169,2,8,0.09,1,4,297
Brooklyn,1391260,937,187,7,4,0.05,1,2,167
Manhattan,1391812,761,152,2,314,3.45,4,2,388
Brooklyn,1392364,563,113,3,18,0.25,3,1,178
Manhattan,1392917,294,59,7,11,0.12,1,1,381
Manhattan,1393469,483,97,7,51,0.55,3,1,35
Manhattan,1394021,313,63,5,20,0.33,4,1,14
Manhattan,1394574,878,176,7,8,0.12,5,1,132
Manhattan,1395126,121,24,31,59,0.63,1,1,370
Brooklyn,1395678,86,17,4,54,0.62,1,1,-9
Manhattan,1396231,1165,233,5,10,0.46,4,1,355
Manhattan,1396783,640,128,4,153,1.66,5,4,254
Brooklyn,1397335,342,68,3,110,1.2,2,1,302
Manhattan,1397887,1014,203,2,69,0.91,4,2,9
Manhattan,1398440,494,99,1,1,0.18,3,1,336
Brooklyn,1398992,155,31,180,24,0.26,4,1,88
Brooklyn,1401201,659,132,2,20,0.59,4,1,396
Brooklyn,1401754,290,58,90,17,0.27,1,2,33
Manhattan,1402306,831,166,5,8,0.09,3,1,322
Manhattan,1402858,907,181,7,11,0.12,5,1,302
Manhattan,1403410,158,32,5,5,0.09,5,1,73
Manhattan,1404515,1044,209,30,36,0.39,4,5,333
Manhattan,1405067,624,125,30,16,0.17,4,5,24
Brooklyn,1405620,282,56,15,5,0.12,2,1,404
Manhattan,1406724,673,135,4,68,0.77,5,1,175
Manhattan,1407277,115,23,28,89,0.99,5,1,26
Manhattan,1407829,979,196,30,10,1.02,4,1,405
Queens,1408381,896,179,1,38,0.85,3,1,83
Bronx,1408933,756,151,2,15,0.17,3,1,64
Brooklyn,1409486,422,84,2,20,0.42,3,1,181
Manhattan,1410038,586,117,3,25,0.96,5,2,246
Manhattan,1410590,666,133,2,35,0.42,3,1,261
Brooklyn,1411143,1183,237,30,1,0.01,2,1,253
Manhattan,1411695,175,35,3,64,0.7,4,1,92
Brooklyn,1412247,72,14,3,26,0.33,2,1,66
Queens,1412800,620,124,2,244,2.74,5,1,142
Brooklyn,1413352,370,74,15,21,0.29,5,3,272
Queens,1413904,784,157,2,270,2.95,3,2,10
Brooklyn,1414456,174,35,10,16,0.19,4,3,212
Manhattan,1415009,1078,216,3,24,0.26,2,1,-9
Brooklyn,1415561,65,13,1,30,0.33,4,2,339
Brooklyn,1416113,891,178,2,5,0.06,3,2,379
Brooklyn,1416666,474,95,4,115,1.25,1,1,146
Brooklyn,1417218,440,88,5,9,0.19,1,2,28
Brooklyn,1417770,627,125,5,45,0.52,2,2,105
Manhattan,1418323,1078,216,365,19,0.21,3,1,84
Manhattan,1418875,57,11,3,5,0.08,4,1,309
Manhattan,1419427,638,128,2,203,2.22,3,1,374
Manhattan,1419979,395,79,122,20,0.41,1,1,174
Manhattan,1420532,516,103,3,49,0.53,4,1,232
Brooklyn,1421084,745,149,4,6,0.07,3,1,20
Brooklyn,1421636,1161,232,5,7,0.08,5,1,133
Brooklyn,1422189,456,91,2,35,0.38,3,2,17
Manhattan,1422741,125,25,5,28,0.31,4,4,287
Manhattan,1423846,188,38,2,54,0.88,2,1,397
Brooklyn,1424398,612,122,3,115,1.75,3,2,263
Brooklyn,1424950,80,16,5,6,0.13,4,1,230
Manhattan,1425502,117,23,15,1,0.02,1,1,180
Brooklyn,1426055,632,126,3,204,2.31,4,1,27
Brooklyn,1426607,1111,222,180,1,0.03,4,1,163
Brooklyn,1427159,1122,224,3,89,0.97,1,1,106
Manhattan,1427712,122,24,6,130,1.42,2,2,114
Brooklyn,1428264,213,43,7,15,0.25,1,3,3
Manhattan,1428816,652,130,30,52,0.6,1,1,28
Brooklyn,1429369,1003,201,6,58,0.63,3,1,296
Manhattan,1429921,237,47,3,208,2.32,3,1,34
Queens,1430473,911,182,5,3,0.03,1,1,316
Manhattan,1431025,74,15,30,7,0.08,5,1,418
Brooklyn,1433235,911,182,3,63,0.72,2,2,283
Brooklyn,1433787,843,169,5,26,0.28,1,1,405
Manhattan,1434339,706,141,27,1,0.01,5,1,414
Manhattan,1435444,146,29,1,107,2.38,2,1,253
Brooklyn,1435996,261,52,30,3,0.05,4,1,108
Manhattan,1436548,1059,212,3,107,1.17,4,1,418
Brooklyn,1437101,701,140,3,29,1.57,5,1,180
Brooklyn,1437653,279,56,6,69,0.76,3,1,168
Brooklyn,1438205,335,67,3,232,2.52,4,1,418
Brooklyn,1440415,451,90,19,5,0.06,4,2,414
Manhattan,1440967,831,166,3,10,0.23,1,1,280
Brooklyn,1441519,214,43,4,36,0.47,2,2,83
Manhattan,1442071,767,153,5,94,1.1,2,1,398
Manhattan,1443176,1081,216,1,63,0.71,5,1,278
Brooklyn,1443728,316,63,15,5,0.06,3,1,316
Brooklyn,1444281,1009,202,3,238,2.6,5,1,29
Manhattan,1444833,1178,236,2,101,1.1,2,1,-2
Brooklyn,1445385,322,64,3,21,0.23,4,3,378
Manhattan,1445938,993,199,2,72,0.82,4,1,125
Brooklyn,1446490,656,131,2,40,0.68,3,1,57
Brooklyn,1447042,233,47,3,103,1.13,5,1,354
Brooklyn,1447594,512,102,6,66,0.72,2,2,266
Brooklyn,1448147,97,19,3,35,0.4,1,1,226
Brooklyn,1448699,1135,227,31,121,1.33,5,1,321
Manhattan,1449251,279,56,8,15,0.19,4,1,30
Brooklyn,1449804,554,111,2,13,0.18,1,1,36
Manhattan,1450356,664,133,2,129,1.42,1,1,85
Manhattan,1451461,108,22,5,8,0.11,3,1,69
Queens,1452013,1127,225,2,5,0.06,2,1,146
Brooklyn,1452565,973,195,4,46,0.52,2,1,139
Manhattan,1453117,696,139,30,37,0.41,1,1,319
Manhattan,1453670,200,40,7,14,0.16,4,1,173
Brooklyn,1454222,777,155,5,37,0.45,1,1,354
Queens,1454774,290,58,5,1,0.03,1,1,324
Manhattan,1455327,1008,202,3,209,2.38,1,1,351
Manhattan,1455879,348,70,3,4,0.07,4,1,338
Brooklyn,1458640,237,47,3,43,0.49,1,28,225
Queens,1459193,241,48,3,7,0.08,2,1,205
Brooklyn,1459745,1186,237,3,75,0.93,5,28,380
Manhattan,1460297,626,125,1,88,0.99,3,1,321
Brooklyn,1460850,413,83,3,73,0.84,3,28,324
Brooklyn,1461402,511,102,3,89,1.06,4,28,180
Brooklyn,1461954,659,132,3,23,0.26,4,28,-5
Brooklyn,1462507,285,57,3,11,0.16,5,1,169
Brooklyn,1463059,833,167,28,84,1.12,2,6,345
Brooklyn,1463611,883,177,3,54,0.61,1,28,369
Brooklyn,1464163,921,184,3,17,0.19,1,1,281
Brooklyn,1464716,629,126,7,1,0.02,3,2,-2
Brooklyn,1465268,130,26,1,73,0.89,5,1,325
Manhattan,1465820,1128,226,3,36,0.47,4,1,122
Brooklyn,1466373,459,92,2,98,1.07,5,2,210
Brooklyn,1467477,802,160,5,2,0.09,4,1,69
Brooklyn,1468030,314,63,5,18,0.2,1,3,244
Brooklyn,1468582,375,75,3,24,0.28,5,3,112
Brooklyn,1469134,572,114,3,1,0.07,5,1,39
Brooklyn,1469686,894,179,1,2,0.05,2,1,95
Brooklyn,1470239,949,190,14,23,0.25,3,1,268
Brooklyn,1470791,495,99,2,93,1.12,3,4,131
Manhattan,1472448,1022,204,5,152,1.69,5,1,137
Brooklyn,1473000,186,37,1,119,1.39,1,2,25
Manhattan,1479076,1055,211,3,14,0.22,1,1,239
Brooklyn,1479628,300,60,14,65,0.73,4,1,400
Staten Island,1480180,1174,235,1,50,0.56,3,1,118
Manhattan,1480732,131,26,3,33,0.39,1,3,129
Manhattan,1481285,97,19,3,30,0.35,5,3,164
Brooklyn,1481837,648,130,3,13,0.15,4,1,29
Manhattan,1482389,772,154,30,18,0.2,5,5,66
Brooklyn,1482942,286,57,4,1,0.01,5,1,400
Manhattan,1483494,481,96,3,216,2.44,5,1,279
Queens,1484046,398,80,2,98,1.09,5,1,201
Brooklyn,1484599,1074,215,2,61,0.86,5,1,11
Manhattan,1485151,788,158,30,13,0.34,4,9,116
Manhattan,1485703,357,71,3,136,1.52,4,1,-6
Brooklyn,1486255,1171,234,2,39,0.47,2,2,332
Manhattan,1486808,736,147,14,65,0.73,4,1,195
Brooklyn,1487360,887,177,3,62,0.71,2,1,115
Manhattan,1487912,764,153,3,47,0.57,3,1,274
Brooklyn,1488465,480,96,2,42,0.48,4,1,215
Brooklyn,1489017,278,56,3,207,2.29,5,2,134
Brooklyn,1489569,327,65,4,72,0.81,3,2,67
Manhattan,1490674,488,98,30,25,0.28,5,1,311
Brooklyn,1491226,433,87,2,215,2.42,1,1,325
Brooklyn,1491778,758,152,4,26,0.73,4,1,313
Manhattan,1492331,910,182,5,18,0.21,1,1,6
Manhattan,1492883,662,132,3,18,0.21,3,1,319
